Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6JdKj7sY5heeBDJq8Qmd7P,"Rifle Talibán - remix","Rifle Talibán (remix)","Guxo,Cruz Cafuné,Mushkaa,Rojuu,superreservao,El Bugg,Logal",2024-07-11,378003,54,jlx91,2024-07-12T07:26:00Z,"hyperpop","cash crabby",0.634,0.537,2,-10.599,1,0.152,0.0632,0.00000153,0.105,0.209,159.924,4
1mLTFke4DR2dwAkDORrrvq,"KOMBOLEWA - Remix","KOMBOLEWA (Remix)","Suzete,Lola Indigo",2024-07-25,171469,53,jlx91,2024-07-30T21:40:40Z,"","Universal Music Spain S.L.",0.742,0.727,0,-4.898,0,0.0386,0.218,0.00151,0.374,0.639,119.966,4
6FvmUAik6swbRv1xL19NCQ,"Funny","Funny","Wos LasPalmas,Danny Romero,YSW",2024-06-28,168521,11,jlx91,2024-06-29T16:29:22Z,"","Wos Las Palmas",0.691,0.889,8,-5.129,1,0.106,0.422,0.0000521,0.128,0.551,114.964,4
0btPVfNIE43s6ZFtp0GgVh,"A Las 12","A Las 12","Ptazeta,Omar Montes",2024-06-20,188693,53,jlx91,2024-06-26T11:58:33Z,"flamenco,flamenco urbano,flamenco pop","Interscope Records",0.8,0.761,10,-3.228,0,0.105,0.28,0.00000223,0.146,0.872,123.895,4
3EauslPG4p8C0OWkJVRRhG,"Like Me","Like Me","Daby,La Pantera,Unknwnmade",2024-06-27,200000,0,jlx91,2024-06-29T16:30:50Z,"","Honey Money",0.496,0.747,2,-6.684,0,0.267,0.128,0,0.279,0.596,92.665,4
4IWTNhnNmYMEXE48DclSnG,"TESTIGOS","TESTIGOS","Maikel Delacalle,Mr. Naisgai",2024-06-07,220000,46,jlx91,2024-06-13T16:49:28Z,"trap latino,latin r&b,reggaeton","MAIKEL DELACALLE",0.81,0.827,8,-4.509,0,0.0924,0.131,0.00000414,0.0743,0.647,95.989,4
7ASXACpWPBo6yGQVV3HK3i,"Es una pena","Es una pena","San Tosielo,Toldos Verdes",2024-06-18,213500,37,jlx91,2024-06-26T12:02:14Z,"","Sony Music Entertainment",0.396,0.669,6,-7.138,0,0.0365,0.357,0.00000611,0.138,0.309,170.797,4
4HXeMY6m1KD8nVodkUr3zA,"El Idiota","Esta vida que elegí","st. Pedro",2024-02-15,209302,36,jlx91,2024-02-21T02:09:51Z,"latin r&b","Interscope Records",0.802,0.693,5,-7.182,1,0.0392,0.107,0,0.181,0.962,128.058,4
1avWsZj79cS3aZ1s8x1L5W,"2MILVEINTISIEMPRE","2MILVEINTISIEMPRE","Juseph",2024-02-22,161756,19,jlx91,2024-02-27T13:16:38Z,"","Juseph",0.678,0.597,1,-7.527,1,0.217,0.093,0.00004,0.197,0.51,148.308,4
5VPHi4bHFHrPiQihVZd1Uq,"REMEDIO","REMEDIO","Cris Helia",2024-02-08,210461,32,jlx91,2024-02-27T12:58:09Z,"","Universal Music Spain S.L.",0.714,0.772,9,-4.886,1,0.0277,0.19,0,0.152,0.504,130.056,4
0e3agFHqBF53riVoI0KcHQ,"toy joya","toy joya","San Tosielo,Cruz Cafuné",2024-03-21,208300,49,jlx91,2024-03-22T01:53:07Z,"","Sony Music Entertainment",0.441,0.524,4,-9.434,1,0.046,0.104,0.00881,0.136,0.489,111.972,4
5ACszI7ZhA9v1QoZTzb89M,"Todos Miran","Todos Miran","Ptazeta",2024-06-06,147222,21,jlx91,2024-06-13T16:51:11Z,"","Interscope Records",0.824,0.571,1,-7.567,1,0.218,0.119,0.00000102,0.123,0.585,156.927,4
6uYHB5nFdvHQs2gBC6ERJ8,"Lucy","Lucy","Lucho RK,La Pantera,Bdp Music",2024-02-16,157421,51,jlx91,2024-02-21T03:13:58Z,"","Lucho RK",0.574,0.764,10,-4.858,0,0.301,0.269,0,0.514,0.747,79.979,3
5Kv3akRvvVxd4c1GDHYhdO,"Ha Pasado Tiempo","Ha Pasado Tiempo","Ptazeta,Ingratax",2024-03-28,152820,24,jlx91,2024-04-02T00:50:18Z,"","Interscope Records",0.656,0.776,0,-6.479,1,0.0985,0.388,0.0000455,0.212,0.335,120.913,4
28rAQYPV1bxoXF9fGxzZT7,"KOMBOLEWA","KOMBOLEWA","Suzete",2024-01-25,162000,36,jlx91,2024-02-06T14:48:58Z,"","Universal Music Spain S.L.",0.744,0.622,0,-6.893,0,0.0463,0.423,0.000274,0.366,0.505,119.972,4
6SMC0zf1HBVJuZwHTWexX1,"Movin' loko","Movin' loko","Cruz Cafuné",2024-02-02,158625,47,jlx91,2024-02-06T14:00:12Z,"","MÉCÈN Ent.",0.567,0.378,2,-11.675,1,0.0483,0.338,0.00157,0.241,0.312,149.903,4
2qHvD3r5qu4wuPpvq3CQKb,"LA ÚLTIMA","LA ÚLTIMA","Quevedo",2024-02-01,170322,63,jlx91,2024-02-06T13:53:42Z,"reggaeton","Quevedo",0.552,0.61,7,-6.304,1,0.0657,0.171,0,0.071,0.225,92.936,4
0B29LH1QDzgMHSqkfnoGys,"De Paseo","De Paseo","SOG,Maikel Delacalle",2024-01-26,172656,21,jlx91,2024-01-29T12:52:44Z,"reggaeton,trap latino,latin r&b","WM Mexico",0.888,0.72,11,-5.872,1,0.0715,0.302,0.0000162,0.141,0.939,95.995,4
